year_month,product,price,category
202012,芹菜,3.76,蔬菜
202012,西红柿,4.56,蔬菜
202012,豆角,7.90,蔬菜
202012,白萝卜,1.93,蔬菜
202012,茄子,4.97,蔬菜
202012,胡萝卜,2.45,蔬菜
202012,黄瓜,4.40,蔬菜
202012,莴笋,3.16,蔬菜
202012,青椒,6.15,蔬菜
202012,菜花,3.86,蔬菜
202012,生姜,12.34,蔬菜
202012,香菇,11.44,蔬菜
202012,蒜苔,7.75,蔬菜
202012,平菇,6.69,蔬菜
202012,大葱,6.96,蔬菜
202012,韭菜,5.05,蔬菜
202012,西葫芦,3.81,蔬菜
202012,洋白菜,2.14,蔬菜
202012,油菜,3.30,蔬菜
202012,菠菜,4.34,蔬菜
202012,冬瓜,2.97,蔬菜
202012,大蒜,6.73,蔬菜
202012,生菜,4.40,蔬菜
202012,莲藕,6.64,蔬菜
202012,南瓜,3.42,蔬菜
202012,葱头,2.63,蔬菜
202012,大白菜,1.4,蔬菜
202012,土豆,2.31,蔬菜
202101,芹菜,4.82,蔬菜
202101,西红柿,4.43,蔬菜
202101,豆角,9.38,蔬菜
202101,白萝卜,2.53,蔬菜
202101,茄子,6.17,蔬菜
202101,胡萝卜,2.90,蔬菜
202101,黄瓜,4.57,蔬菜
202101,莴笋,3.72,蔬菜
202101,青椒,9.26,蔬菜
202101,菜花,6.16,蔬菜
202101,生姜,11.16,蔬菜
202101,香菇,11.58,蔬菜
202101,蒜苔,8.80,蔬菜
202101,平菇,7,蔬菜
202101,大葱,9.74,蔬菜
202101,韭菜,5.93,蔬菜
202101,西葫芦,4.31,蔬菜
202101,洋白菜,3.55,蔬菜
202101,油菜,4.84,蔬菜
202101,菠菜,5.57,蔬菜
202101,冬瓜,5.03,蔬菜
202101,大蒜,6.94,蔬菜
202101,生菜,5.60,蔬菜
202101,莲藕,7.76,蔬菜
202101,南瓜,5.03,蔬菜
202101,葱头,3.16,蔬菜
202101,大白菜,1.99,蔬菜
202101,土豆,2.53,蔬菜
