地区,总人口,城镇人口,乡村人口,城镇人口比例,乡村人口比例
 北  京 ,1382,1072,310,77.54,22.46
 天  津 ,1001,721,280,71.99,28.01
 河  北 ,6744,1759,4985,26.08,73.92
 山  西 ,3297,1151,2146,34.91,65.09
 内蒙古 ,2376,1014,1362,42.68,57.32
 辽  宁 ,4238,2299,1939,54.24,45.76
 吉  林 ,2728,1355,1373,49.68,50.32
 黑龙江 ,3689,1901,1788,51.54,48.46
 上  海 ,1674,1478,196,88.31,11.69
 江  苏 ,7438,3086,4352,41.49,58.51
 浙  江 ,4677,2277,2400,48.67,51.33
 安  徽 ,5986,1665,4321,27.81,72.19
 福  建 ,3471,1443,2028,41.57,58.43
 江  西 ,4140,1146,2994,27.67,72.33
 山  东 ,9079,3450,5629,38,62
 河  南 ,9256,2147,7109,23.2,76.8
 湖  北 ,6028,2424,3604,40.22,59.78
 湖  南 ,6440,1916,4524,29.75,70.25
 广  东 ,8642,4753,3889,55,45
 广  西 ,4489,1264,3225,28.15,71.85
 海  南 ,787,316,471,40.11,59.89
 重  庆 ,3090,1023,2067,33.09,66.91
 四  川 ,8329,2223,6106,26.69,73.31
 贵  州 ,3525,841,2684,23.87,76.13
 云  南 ,4288,1002,3286,23.36,76.64
 西  藏 ,262,50,212,18.93,81.07
 陕  西 ,3605,1163,2442,32.26,67.74
 甘  肃 ,2562,615,1947,24.01,75.99
 青  海 ,518,180,338,34.76,65.24
 宁  夏 ,562,182,380,32.43,67.57
 新  疆 ,1925,651,1274,33.82,66.18
