age,pop,state,gender,record_year
15,1015104,未婚,男,2000
16,982160,未婚,男,2000
17,941471,未婚,男,2000
18,1051464,未婚,男,2000
19,845638,未婚,男,2000
20,769704,未婚,男,2000
21,771391,未婚,男,2000
22,682833,未婚,男,2000
23,538998,未婚,男,2000
24,491266,未婚,男,2000
25,392870,未婚,男,2000
26,319967,未婚,男,2000
27,249809,未婚,男,2000
28,197067,未婚,男,2000
29,153690,未婚,男,2000
30,133503,未婚,男,2000
31,97148,未婚,男,2000
32,90591,未婚,男,2000
33,61712,未婚,男,2000
34,62124,未婚,男,2000
35,57054,未婚,男,2000
36,50300,未婚,男,2000
37,52495,未婚,男,2000
38,37252,未婚,男,2000
39,19998,未婚,男,2000
40,26865,未婚,男,2000
41,24129,未婚,男,2000
42,34538,未婚,男,2000
43,36210,未婚,男,2000
44,32750,未婚,男,2000
45,37016,未婚,男,2000
46,35955,未婚,男,2000
47,33417,未婚,男,2000
48,34860,未婚,男,2000
49,28004,未婚,男,2000
50,30215,未婚,男,2000
51,28236,未婚,男,2000
52,24853,未婚,男,2000
53,24027,未婚,男,2000
54,22182,未婚,男,2000
55,22282,未婚,男,2000
56,20895,未婚,男,2000
57,18701,未婚,男,2000
58,19302,未婚,男,2000
59,19173,未婚,男,2000
60,20880,未婚,男,2000
61,15664,未婚,男,2000
62,17898,未婚,男,2000
63,16185,未婚,男,2000
64,14960,未婚,男,2000
65岁及以上,112980,未婚,男,2000
15,928016,未婚,女,2000
16,906262,未婚,女,2000
17,876508,未婚,女,2000
18,981775,未婚,女,2000
19,787568,未婚,女,2000
20,677354,未婚,女,2000
21,617076,未婚,女,2000
22,484913,未婚,女,2000
23,337349,未婚,女,2000
24,259500,未婚,女,2000
25,172146,未婚,女,2000
26,116753,未婚,女,2000
27,77981,未婚,女,2000
28,52953,未婚,女,2000
29,36946,未婚,女,2000
30,28088,未婚,女,2000
31,18201,未婚,女,2000
32,15461,未婚,女,2000
33,9091,未婚,女,2000
34,8129,未婚,女,2000
35,7052,未婚,女,2000
36,6020,未婚,女,2000
37,6213,未婚,女,2000
38,4307,未婚,女,2000
39,2341,未婚,女,2000
40,2658,未婚,女,2000
41,1952,未婚,女,2000
42,2316,未婚,女,2000
43,2177,未婚,女,2000
44,1923,未婚,女,2000
45,1984,未婚,女,2000
46,1991,未婚,女,2000
47,1599,未婚,女,2000
48,1576,未婚,女,2000
49,1295,未婚,女,2000
50,1440,未婚,女,2000
51,1299,未婚,女,2000
52,1098,未婚,女,2000
53,955,未婚,女,2000
54,869,未婚,女,2000
55,830,未婚,女,2000
56,686,未婚,女,2000
57,629,未婚,女,2000
58,656,未婚,女,2000
59,585,未婚,女,2000
60,705,未婚,女,2000
61,506,未婚,女,2000
62,578,未婚,女,2000
63,583,未婚,女,2000
64,582,未婚,女,2000
65岁及以上,10649,未婚,女,2000
15,2,离婚,男,2000
16,6,离婚,男,2000
17,16,离婚,男,2000
18,48,离婚,男,2000
19,140,离婚,男,2000
20,410,离婚,男,2000
21,592,离婚,男,2000
22,1207,离婚,男,2000
23,1888,离婚,男,2000
24,3431,离婚,男,2000
25,5044,离婚,男,2000
26,6806,离婚,男,2000
27,9012,离婚,男,2000
28,11513,离婚,男,2000
29,13494,离婚,男,2000
30,17163,离婚,男,2000
31,16997,离婚,男,2000
32,19720,离婚,男,2000
33,16003,离婚,男,2000
34,19433,离婚,男,2000
35,20602,离婚,男,2000
36,21327,离婚,男,2000
37,25314,离婚,男,2000
38,18266,离婚,男,2000
39,10714,离婚,男,2000
40,14448,离婚,男,2000
41,12527,离婚,男,2000
42,16519,离婚,男,2000
43,16291,离婚,男,2000
44,14410,离婚,男,2000
45,14825,离婚,男,2000
46,14283,离婚,男,2000
47,12570,离婚,男,2000
48,12311,离婚,男,2000
49,9938,离婚,男,2000
50,10396,离婚,男,2000
51,9860,离婚,男,2000
52,8270,离婚,男,2000
53,7783,离婚,男,2000
54,7147,离婚,男,2000
55,6706,离婚,男,2000
56,6102,离婚,男,2000
57,5611,离婚,男,2000
58,5536,离婚,男,2000
59,5411,离婚,男,2000
60,5465,离婚,男,2000
61,4391,离婚,男,2000
62,5067,离婚,男,2000
63,4597,离婚,男,2000
64,4461,离婚,男,2000
65岁及以上,36679,离婚,男,2000
15,6,离婚,女,2000
16,25,离婚,女,2000
17,120,离婚,女,2000
18,367,离婚,女,2000
19,525,离婚,女,2000
20,1141,离婚,女,2000
21,1173,离婚,女,2000
22,1983,离婚,女,2000
23,2342,离婚,女,2000
24,3494,离婚,女,2000
25,4664,离婚,女,2000
26,5722,离婚,女,2000
27,7070,离婚,女,2000
28,8607,离婚,女,2000
29,9701,离婚,女,2000
30,11949,离婚,女,2000
31,11482,离婚,女,2000
32,13077,离婚,女,2000
33,9705,离婚,女,2000
34,11640,离婚,女,2000
35,13086,离婚,女,2000
36,14344,离婚,女,2000
37,17071,离婚,女,2000
38,12109,离婚,女,2000
39,7407,离婚,女,2000
40,9710,离婚,女,2000
41,8017,离婚,女,2000
42,9810,离婚,女,2000
43,10075,离婚,女,2000
44,8744,离婚,女,2000
45,8871,离婚,女,2000
46,8362,离婚,女,2000
47,6916,离婚,女,2000
48,6688,离婚,女,2000
49,5090,离婚,女,2000
50,5162,离婚,女,2000
51,4517,离婚,女,2000
52,3632,离婚,女,2000
53,3163,离婚,女,2000
54,2854,离婚,女,2000
55,2628,离婚,女,2000
56,2251,离婚,女,2000
57,1959,离婚,女,2000
58,1939,离婚,女,2000
59,1745,离婚,女,2000
60,1896,离婚,女,2000
61,1381,离婚,女,2000
62,1548,离婚,女,2000
63,1344,离婚,女,2000
64,1355,离婚,女,2000
65岁及以上,15980,离婚,女,2000
15,0,丧偶,男,2000
16,1,丧偶,男,2000
17,3,丧偶,男,2000
18,4,丧偶,男,2000
19,17,丧偶,男,2000
20,42,丧偶,男,2000
21,82,丧偶,男,2000
22,175,丧偶,男,2000
23,296,丧偶,男,2000
24,552,丧偶,男,2000
25,878,丧偶,男,2000
26,1210,丧偶,男,2000
27,1589,丧偶,男,2000
28,2134,丧偶,男,2000
29,2600,丧偶,男,2000
30,3511,丧偶,男,2000
31,3742,丧偶,男,2000
32,4809,丧偶,男,2000
33,4530,丧偶,男,2000
34,5655,丧偶,男,2000
35,6236,丧偶,男,2000
36,6556,丧偶,男,2000
37,8258,丧偶,男,2000
38,6907,丧偶,男,2000
39,4003,丧偶,男,2000
40,5709,丧偶,男,2000
41,6145,丧偶,男,2000
42,9161,丧偶,男,2000
43,11258,丧偶,男,2000
44,11336,丧偶,男,2000
45,13893,丧偶,男,2000
46,15302,丧偶,男,2000
47,15696,丧偶,男,2000
48,17906,丧偶,男,2000
49,16462,丧偶,男,2000
50,19636,丧偶,男,2000
51,21384,丧偶,男,2000
52,20074,丧偶,男,2000
53,21703,丧偶,男,2000
54,21486,丧偶,男,2000
55,22109,丧偶,男,2000
56,24338,丧偶,男,2000
57,24272,丧偶,男,2000
58,26591,丧偶,男,2000
59,29783,丧偶,男,2000
60,33828,丧偶,男,2000
61,30868,丧偶,男,2000
62,39845,丧偶,男,2000
63,40887,丧偶,男,2000
64,45564,丧偶,男,2000
65岁及以上,959837,丧偶,男,2000
15,1,丧偶,女,2000
16,3,丧偶,女,2000
17,9,丧偶,女,2000
18,23,丧偶,女,2000
19,53,丧偶,女,2000
20,109,丧偶,女,2000
21,187,丧偶,女,2000
22,382,丧偶,女,2000
23,554,丧偶,女,2000
24,905,丧偶,女,2000
25,1199,丧偶,女,2000
26,1622,丧偶,女,2000
27,2057,丧偶,女,2000
28,2560,丧偶,女,2000
29,3039,丧偶,女,2000
30,4145,丧偶,女,2000
31,4373,丧偶,女,2000
32,5757,丧偶,女,2000
33,5216,丧偶,女,2000
34,6821,丧偶,女,2000
35,7917,丧偶,女,2000
36,8889,丧偶,女,2000
37,11455,丧偶,女,2000
38,9974,丧偶,女,2000
39,6337,丧偶,女,2000
40,9161,丧偶,女,2000
41,9046,丧偶,女,2000
42,13381,丧偶,女,2000
43,16658,丧偶,女,2000
44,17727,丧偶,女,2000
45,21325,丧偶,女,2000
46,24595,丧偶,女,2000
47,25463,丧偶,女,2000
48,30136,丧偶,女,2000
49,28948,丧偶,女,2000
50,33708,丧偶,女,2000
51,38653,丧偶,女,2000
52,37380,丧偶,女,2000
53,40614,丧偶,女,2000
54,43024,丧偶,女,2000
55,45636,丧偶,女,2000
56,49080,丧偶,女,2000
57,49119,丧偶,女,2000
58,55580,丧偶,女,2000
59,62731,丧偶,女,2000
60,74461,丧偶,女,2000
61,67355,丧偶,女,2000
62,84601,丧偶,女,2000
63,88759,丧偶,女,2000
64,100410,丧偶,女,2000
65岁及以上,2319067,丧偶,女,2000
15,84,有配偶,男,2000
16,282,有配偶,男,2000
17,1009,有配偶,男,2000
18,3389,有配偶,男,2000
19,8552,有配偶,男,2000
20,22945,有配偶,男,2000
21,52413,有配偶,男,2000
22,136693,有配偶,男,2000
23,252689,有配偶,男,2000
24,410110,有配偶,男,2000
25,531765,有配偶,男,2000
26,693466,有配偶,男,2000
27,810431,有配偶,男,2000
28,918194,有配偶,男,2000
29,999991,有配偶,男,2000
30,1130815,有配偶,男,2000
31,1052202,有配偶,男,2000
32,1186097,有配偶,男,2000
33,944257,有配偶,男,2000
34,1100273,有配偶,男,2000
35,1102622,有配偶,男,2000
36,1079385,有配偶,男,2000
37,1269297,有配偶,男,2000
38,954311,有配偶,男,2000
39,512535,有配偶,男,2000
40,668103,有配偶,男,2000
41,610766,有配偶,男,2000
42,799451,有配偶,男,2000
43,888976,有配偶,男,2000
44,805143,有配偶,男,2000
45,869540,有配偶,男,2000
46,858613,有配偶,男,2000
47,773531,有配偶,男,2000
48,796315,有配偶,男,2000
49,662314,有配偶,男,2000
50,671728,有配偶,男,2000
51,653480,有配偶,男,2000
52,556337,有配偶,男,2000
53,544992,有配偶,男,2000
54,496231,有配偶,男,2000
55,454967,有配偶,男,2000
56,445032,有配偶,男,2000
57,400050,有配偶,男,2000
58,399298,有配偶,男,2000
59,402955,有配偶,男,2000
60,404921,有配偶,男,2000
61,334504,有配偶,男,2000
62,381602,有配偶,男,2000
63,354011,有配偶,男,2000
64,350402,有配偶,男,2000
65岁及以上,3002014,有配偶,男,2000
15,293,有配偶,女,2000
16,1242,有配偶,女,2000
17,4401,有配偶,女,2000
18,16414,有配偶,女,2000
19,33102,有配偶,女,2000
20,105878,有配偶,女,2000
21,210780,有配偶,女,2000
22,338198,有配偶,女,2000
23,451482,有配偶,女,2000
24,640877,有配偶,女,2000
25,753756,有配偶,女,2000
26,895878,有配偶,女,2000
27,970290,有配偶,女,2000
28,1048823,有配偶,女,2000
29,1098169,有配偶,女,2000
30,1220935,有配偶,女,2000
31,1116367,有配偶,女,2000
32,1238242,有配偶,女,2000
33,985252,有配偶,女,2000
34,1132138,有配偶,女,2000
35,1122463,有配偶,女,2000
36,1105145,有配偶,女,2000
37,1275538,有配偶,女,2000
38,956509,有配偶,女,2000
39,529602,有配偶,女,2000
40,663879,有配偶,女,2000
41,591316,有配偶,女,2000
42,773668,有配偶,女,2000
43,868795,有配偶,女,2000
44,803656,有配偶,女,2000
45,852069,有配偶,女,2000
46,851839,有配偶,女,2000
47,774345,有配偶,女,2000
48,788934,有配偶,女,2000
49,664213,有配偶,女,2000
50,654274,有配偶,女,2000
51,623114,有配偶,女,2000
52,531209,有配偶,女,2000
53,510131,有配偶,女,2000
54,470820,有配偶,女,2000
55,429028,有配偶,女,2000
56,407899,有配偶,女,2000
57,367351,有配偶,女,2000
58,361622,有配偶,女,2000
59,358416,有配偶,女,2000
60,352779,有配偶,女,2000
61,290664,有配偶,女,2000
62,317042,有配偶,女,2000
63,291639,有配偶,女,2000
64,290537,有配偶,女,2000
65岁及以上,2246279,有配偶,女,2000
15,915233,未婚,男,2010
16,913488,未婚,男,2010
17,978470,未婚,男,2010
18,970397,未婚,男,2010
19,976585,未婚,男,2010
20,1226067,未婚,男,2010
21,1102329,未婚,男,2010
22,932118,未婚,男,2010
23,849661,未婚,男,2010
24,648119,未婚,男,2010
25,482710,未婚,男,2010
26,392544,未婚,男,2010
27,312796,未婚,男,2010
28,285692,未婚,男,2010
29,200132,未婚,男,2010
30,158705,未婚,男,2010
31,130847,未婚,男,2010
32,109670,未婚,男,2010
33,87365,未婚,男,2010
34,85548,未婚,男,2010
35,80115,未婚,男,2010
36,77201,未婚,男,2010
37,73018,未婚,男,2010
38,68458,未婚,男,2010
39,62936,未婚,男,2010
40,63926,未婚,男,2010
41,51737,未婚,男,2010
42,51963,未婚,男,2010
43,39314,未婚,男,2010
44,42027,未婚,男,2010
45,39926,未婚,男,2010
46,36675,未婚,男,2010
47,39521,未婚,男,2010
48,28081,未婚,男,2010
49,15582,未婚,男,2010
50,21062,未婚,男,2010
51,19208,未婚,男,2010
52,27662,未婚,男,2010
53,29475,未婚,男,2010
54,27498,未婚,男,2010
55,29814,未婚,男,2010
56,29691,未婚,男,2010
57,27345,未婚,男,2010
58,28110,未婚,男,2010
59,22877,未婚,男,2010
60,24240,未婚,男,2010
61,23155,未婚,男,2010
62,20166,未婚,男,2010
63,19028,未婚,男,2010
64,17910,未婚,男,2010
65岁及以上,176120,未婚,男,2010
15,809278,未婚,女,2010
16,829163,未婚,女,2010
17,900134,未婚,女,2010
18,884422,未婚,女,2010
19,892200,未婚,女,2010
20,1105268,未婚,女,2010
21,947469,未婚,女,2010
22,761731,未婚,女,2010
23,655297,未婚,女,2010
24,470079,未婚,女,2010
25,324956,未婚,女,2010
26,244938,未婚,女,2010
27,181801,未婚,女,2010
28,155147,未婚,女,2010
29,102047,未婚,女,2010
30,76660,未婚,女,2010
31,56937,未婚,女,2010
32,44596,未婚,女,2010
33,32366,未婚,女,2010
34,28666,未婚,女,2010
35,24327,未婚,女,2010
36,21948,未婚,女,2010
37,19209,未婚,女,2010
38,16490,未婚,女,2010
39,14362,未婚,女,2010
40,13514,未婚,女,2010
41,9416,未婚,女,2010
42,9134,未婚,女,2010
43,6101,未婚,女,2010
44,6151,未婚,女,2010
45,5670,未婚,女,2010
46,5178,未婚,女,2010
47,5479,未婚,女,2010
48,3860,未婚,女,2010
49,2206,未婚,女,2010
50,2529,未婚,女,2010
51,2063,未婚,女,2010
52,2293,未婚,女,2010
53,2335,未婚,女,2010
54,2207,未婚,女,2010
55,2272,未婚,女,2010
56,2105,未婚,女,2010
57,1897,未婚,女,2010
58,1896,未婚,女,2010
59,1622,未婚,女,2010
60,1695,未婚,女,2010
61,1489,未婚,女,2010
62,1344,未婚,女,2010
63,1230,未婚,女,2010
64,1204,未婚,女,2010
65岁及以上,26102,未婚,女,2010
15,129,有配偶,男,2010
16,596,有配偶,男,2010
17,2251,有配偶,男,2010
18,7237,有配偶,男,2010
19,18187,有配偶,男,2010
20,52328,有配偶,男,2010
21,95083,有配偶,男,2010
22,176836,有配偶,男,2010
23,308002,有配偶,男,2010
24,369711,有配偶,男,2010
25,413382,有配偶,男,2010
26,494224,有配偶,男,2010
27,563675,有配偶,男,2010
28,729922,有配偶,男,2010
29,687532,有配偶,男,2010
30,700183,有配偶,男,2010
31,772368,有配偶,男,2010
32,776525,有配偶,男,2010
33,747016,有配偶,男,2010
34,862741,有配偶,男,2010
35,894143,有配偶,男,2010
36,976393,有配偶,男,2010
37,1033938,有配偶,男,2010
38,1077501,有配偶,男,2010
39,1108409,有配偶,男,2010
40,1210701,有配偶,男,2010
41,1099155,有配偶,男,2010
42,1201606,有配偶,男,2010
43,950774,有配偶,男,2010
44,1083214,有配偶,男,2010
45,1080996,有配偶,男,2010
46,1050018,有配偶,男,2010
47,1224935,有配偶,男,2010
48,911835,有配偶,男,2010
49,497856,有配偶,男,2010
50,639940,有配偶,男,2010
51,586506,有配偶,男,2010
52,758829,有配偶,男,2010
53,837986,有配偶,男,2010
54,760730,有配偶,男,2010
55,803259,有配偶,男,2010
56,800850,有配偶,男,2010
